URL,Category
https://doclib.ngxgroup.com/Financial_NewsDocs/41496_GUARANTY_TRUST_HOLDING_COMPANY_PLC-_NOTICES_OF_BOARD_MEETING_(BM)_-_NOTICE_BOARD_MEETING_(BM)_JUNE_2024.pdf,
https://doclib.ngxgroup.com/Financial_NewsDocs/41468_GUARANTY_TRUST_HOLDING_COMPANY_PLC-GTCO'S_NOTICE_OF_PROPOSED_OFFERING__CORPORATE_ACTIONS_JUNE_2024.pdf,
https://doclib.ngxgroup.com/Financial_NewsDocs/41229_GUARANTY_TRUST_HOLDING_COMPANY_PLC-GTCO_-_RESOLUTIONS_FROM_THE_3RD_ANNUAL_GENERAL_MEETING_CORPORATE_ACTIONS_MAY_2024.pdf,
https://doclib.ngxgroup.com/Financial_NewsDocs/41179_GUARANTY_TRUST_HOLDING_COMPANY_PLC-_QUARTER_1_-_FINANCIAL_STATEMENT_FOR_2024_FINANCIAL_STATEMENTS_MAY_2024.pdf,Financial Statement
https://doclib.ngxgroup.com/Financial_NewsDocs/40968_GUARANTY_TRUST_HOLDING_COMPANY_PLC-GTCO_-_CORPORATE_ACTIONS_ANNOUNCEMENT__CORPORATE_ACTIONS_APRIL_2024.pdf,
https://doclib.ngxgroup.com/Financial_NewsDocs/40890_GUARANTY_TRUST_HOLDING_COMPANY_PLC-_NOTICES_OF_ANNUAL_GENERAL_MEETING_(AGM)_-__ANNUAL_GENERAL_MEETING_(AGM)_APRIL_2024.pdf,
https://doclib.ngxgroup.com/Financial_NewsDocs/40874_GUARANTY_TRUST_HOLDING_COMPANY_PLC-_QUARTER_5_-_FINANCIAL_STATEMENT_FOR_2023_FINANCIAL_STATEMENTS_APRIL_2024.pdf,Financial Statement
https://doclib.ngxgroup.com/Financial_NewsDocs/40610_GUARANTY_TRUST_HOLDING_COMPANY_PLC-_NOTICES_OF_BOARD_MEETING_(BM)_-_NOTICE_BOARD_MEETING_(BM)_MARCH_2024.pdf,
https://doclib.ngxgroup.com/Financial_NewsDocs/GTCO_-_NCCG_REPORT.pdf,
https://doclib.ngxgroup.com/Financial_NewsDocs/GTCO_-_APPROVAL_OF_AFS.pdf,
https://doclib.ngxgroup.com/Financial_NewsDocs/39970_GUARANTY_TRUST_HOLDING_COMPANY_PLC-_NOTICES_OF_BOARD_MEETING_(BM)_-_NOTICE_BOARD_MEETING_(BM)_DECEMBER_2023.pdf,
https://doclib.ngxgroup.com/Financial_NewsDocs/39636_GUARANTY_TRUST_HOLDING_COMPANY_PLC-_QUARTER_3_-_FINANCIAL_STATEMENT_FOR_2023_FINANCIAL_STATEMENTS_OCTOBER_2023.pdf,Financial Statement
https://doclib.ngxgroup.com/Financial_NewsDocs/39460_GUARANTY_TRUST_HOLDING_COMPANY_PLC-_NOTICES_OF_BOARD_MEETING_(BM)_-_NOTICE_BOARD_MEETING_(BM)_SEPTEMBER_2023.pdf,
https://doclib.ngxgroup.com/Financial_NewsDocs/39376_GUARANTY_TRUST_HOLDING_COMPANY_PLC-GTCO_-CORPORATE_ACTION_CORPORATE_ACTIONS_SEPTEMBER_2023.pdf,
https://doclib.ngxgroup.com/Financial_NewsDocs/39375_GUARANTY_TRUST_HOLDING_COMPANY_PLC-_QUARTER_2_-_FINANCIAL_STATEMENT_FOR_2023_FINANCIAL_STATEMENTS_SEPTEMBER_2023.pdf,Financial Statement
https://doclib.ngxgroup.com/Financial_NewsDocs/39352_GUARANTY_TRUST_HOLDING_COMPANY_PLC-PUBLICATION_OF_HALF-YEAR_AUDITED_FINANCIAL_STATEMENTS_CORPORATE_ACTIONS_AUGUST_2023.pdf,
https://doclib.ngxgroup.com/Financial_NewsDocs/38801_GUARANTY_TRUST_HOLDING_COMPANY_PLC-NOTIFICATION_OF_CLOSED_PERIOD_AND_BOARD_MEETING__CORPORATE_ACTIONS_JUNE_2023.pdf,
https://doclib.ngxgroup.com/Financial_NewsDocs/234_GTCO-_DIRECTOR_DEALINGS.pdf,Director Dealings
https://doclib.ngxgroup.com/Financial_NewsDocs/GTCO_-_RESOLUTIONS_FROM_THE_SECOND_ANNUAL_GENERAL_MEETING.pdf,
https://doclib.ngxgroup.com/Financial_NewsDocs/38520_GUARANTY_TRUST_HOLDING_COMPANY_PLC-_NOTICES_OF_ANNUAL_GENERAL_MEETING_(AGM)_-__ANNUAL_GENERAL_MEETING_(AGM)_MAY_2023.pdf,
https://doclib.ngxgroup.com/Financial_NewsDocs/38387_GUARANTY_TRUST_HOLDING_COMPANY_PLC-_QUARTER_1_-_FINANCIAL_STATEMENT_FOR_2023_FINANCIAL_STATEMENTS_APRIL_2023.pdf,Financial Statement
https://doclib.ngxgroup.com/Financial_NewsDocs/38243_GUARANTY_TRUST_HOLDING_COMPANY_PLC-GTCO-CORPORATE_ACTIONS_ANNOUNCEMENT_CORPORATE_ACTIONS_APRIL_2023.pdf,
https://doclib.ngxgroup.com/Financial_NewsDocs/38231_GUARANTY_TRUST_HOLDING_COMPANY_PLC-_QUARTER_5_-_FINANCIAL_STATEMENT_FOR_2022_FINANCIAL_STATEMENTS_APRIL_2023.pdf,Financial Statement
https://doclib.ngxgroup.com/Financial_NewsDocs/GTCO_-_REPORT_ON_COMPLIANCE_WITH_THE_NCCG_2018.pdf,
https://doclib.ngxgroup.com/Financial_NewsDocs/38059_GUARANTY_TRUST_HOLDING_COMPANY_PLC-_NOTICES_OF_BOARD_MEETING_(BM)_-_NOTICE_BOARD_MEETING_(BM)_APRIL_2023.pdf,
https://doclib.ngxgroup.com/Financial_NewsDocs/GTCO_PUBLICATION_OF_THE_AUDITED_FINANCIAL_STATEMENTS_FOR_THE_YEAR_ENDED_DECEMBER_31_2022.pdf,
https://doclib.ngxgroup.com/Financial_NewsDocs/37311_GUARANTY_TRUST_HOLDING_COMPANY_PLC _NOTICES_OF_BOARD_M.pdf,
https://doclib.ngxgroup.com/Financial_NewsDocs/36998_GUARANTY_TRUST_HOLDING_COMPANY_PLC _QUARTER_3_ _FINANC.pdf,Financial Statement
